Lp.,Nazwa własna,Telefon,Email,Charakter usług,Kategoria obiektu,Rodzaj obiektu,Adres
33,PAŁAC PAKOSZÓW,756497075,info@palac-pakoszow.pl,stały,*****,hotel,"58-573 Piechowice, Zamkowa 3"
34,GRANDHOTEL TIFFI,89-651-97-97,sekretariat-ght@tiffi.com,stały,*****,hotel,"14-200 Iława, Dąbrowskiego 9"
35,REGENT WARSAW HOTEL,225581001,reservation@regent-warsaw.com,stały,*****,hotel,"00-761 Warszawa, Belwedreska 23"
36,PIRAMIDA,032/ 325-78-78,piramida@piramida-ceglinski.pl,stały,*****,hotel,"43-100 Tychy, Sikorskiego 100"
37,MONOPOL,717723777,monopol.wroclaw@hotel.com.pl,stały,*****,hotel,"50-071 Wrocław, H.MODRZEJEWSKIEJ 2"
38,PAŁAC SULISŁAW HOTEL & SPA,509842741,biuro@sulislaw.pl,stały,*****,hotel,"49-200 Sulisław, 24"
39,MONOPOL,32 782-82-82,monopol@hotel.com.pl,stały,*****,hotel,"40-012 Katowice, Dworcowa 5/7"
40,BRISTOL TRADITION & LUXURY,172500080,info@bristol-rzeszow.pl,stały,*****,hotel,"35-064 Rzeszów, Rynek 20-23"
41,COPERNICUS,(12) 424-34-00,copernicus@hotel.com.pl,stały,*****,hotel,"31-002 Kraków, ul. Kanonicza 16"
42,HOTEL MARINA GOLF CLUB,89-523-87-97,sekretariat@marinaclub.pl,stały,*****,hotel,"11-036 Siła, 100"
43,H 15 BOUTIQUE HOTEL,225538788,office@h15ab.com,stały,*****,hotel,"00-680 Warszawa, Poznańska 15"
44,"""REZYDENT""",0 - 58 55 - 5,rezerwacja@HotelRezydent.com.pl,stały,*****,hotel,"81-704 Sopot, Plac Konstytucji III Maja 3"
45,GRAND,(12) 421-72-55,hotel@grand.pl,stały,*****,hotel,"31-014 Kraków, ul. Sławkowska 5/7"
46,MANOR HOUSE PAŁAC ODROWĄŻÓW,486287061,chlewiska@manorhouse.pl,stały,*****,hotel,"26-510 Chlewiska, Czachowskiego 56"
47,HOTEL DOUBLE TREE BY HILTON,713025710,,stały,*****,hotel,"50-414 Wrocław, Podwale nr 84"
48,CITY PARK HOTEL & RESIDENCE,612218400,residence@citypark.com.pl,stały,*****,hotel,"61-751 Poznań, Wyspiańskiego 26a"
49,RIALTO,+48-22 58-48-7,info@hotelrialto.com.pl,stały,*****,hotel,"00-670 Warszawa, Wilcza 73"
50,"""SHERATON Sopot Hotel Conference Center & Spa""",0-58 767 - 10,andrea.wrba@sheraton.com,stały,*****,hotel,"81-718 Sopot, Powstańców Warszawy 10"
51,BLOW UP HALL5050,61-657 99 80,blowup@blowUPhall5050.com,stały,*****,hotel,"61-891 Poznań, Kościuszki 42"
52,"""GRAND LUBICZ-UZDROWISKO USTKA""",59/815-44-70,recepcja@grandlubicz.pl,stały,*****,hotel,"76-270 Ustka, wczasowa 4"
53,"""RADISSON BLU HOTEL""",0-58 325-44-44,info.gdansk@radissonblu.com,stały,*****,hotel,"80-828 Gdańsk, Długi Targ 19/Powroźnicza"
54,"""PAŁAC CIEKOCINKO""",58/572-25-08,hotel@palacciekocinko.pl,stały,*****,hotel,"84-210 Ciekocinko, ciekocinko 9"
55,LITWOR,18 202-42-00,recepcja@litwor.pl,stały,*****,hotel,"34-500 Zakopane, ul. Krupówki 40"
56,AQUARIUS SPA,94- 35 36 500,recepcja@aquariusspa.pl,stały,*****,hotel,"78-100 Kołobrzeg, Kasprowicza 24"
57,HOTEL BELLOTTO,228296444,hotel@hotelbellotto.pl,stały,*****,hotel,"00-075 Warszawa, senatorska 13/15"
58,ODYSSEY CLUBHOTEL WELLNESS & SPA,413174400,recepcja@hotelodyssey.pl,stały,*****,hotel,"26-001 Dąbrowa, Dąbrowa 3"
59,SOFITEL VICTORIA,(+48 22) 657-80,sofitel@victoria.orbis.pl,stały,*****,hotel,"00-065 Warszawa, Królewska 11"
60,MANOR HOUSE PAŁAC ODROWĄŻÓW,446821221,marcin@manorhouse.pl,stały,*****,hotel,"26-510 Chlewiska, czachowskiego 56"
61,HOLIDAY INN KRAKÓW CITY CENTER,(0 12) 619-00-02,hirm@hik.krakow.pl,stały,*****,hotel,"31-072 Kraków, ul. Wielopole 4-8"
62,PLATINUM PALACE,713249900,,stały,*****,hotel,"Wrocław, POWSTAŃCÓW ŚLĄSKICH 204"
63,THE WESTIN WARSAW,224508000,warsaw@westin.com,stały,*****,hotel,"00-854 Warszawa, Al. Jana Pawła ii 21"
64,NIEBIESKI ART HOTEL & SPA,(0 12)297-40-00,biuro@niebieski.com.pl,stały,*****,hotel,"30-114 Kraków, ul. Flisacka 3"
65,BOHEMA,525600602,rezerwacja@hotelbohema.pl,stały,*****,hotel,"85-066 Bydgoszcz, Stanisława Konarskiego 9"
66,DWÓR KOŚCIUSZKO,12 614-14-41,dworkosciuszko@donimirski.com,stały,*****,hotel,"31-221 Kraków, ul. Papiernicza 3"
67,HAVET Resort & SPA,94/ 713 60 70,gm@havethotel.pl,stały,*****,hotel,"78-131 Dźwirzyno, ul. Wyzwolenia 29"
68,STARY,12 384-08-08,stary@hotel.com.pl,stały,*****,hotel,"31-011 Kraków, ul. Szczepańska 5"
69,SHERATON KRAKOW HOTEL,(0 12) 662-10-0,krakow@sheraton.com,stały,*****,hotel,"31-101 Kraków, ul. Powiśle 7"
70,SHERATON WARSAW HOTEL & TOWERS,022-657-61-00,warsaw@sheraton.com,stały,*****,hotel,"00-493 Warszawa, B.Prusa 2"
71,SHERATON WARSAW HOTEL & TOWERS,022-657-61-00,warsaw@sheraton.com,stały,*****,hotel,"00-493 Warszawa, B.Prusa 2 22"
72,SHERATON WARSAW HOTEL & TOWERS,022-657-61-00,warsaw@sheraton.com,stały,*****,hotel,"00-493 Warszawa, B.Prusa 2"
73,SHERATON WARSAW HOTEL & TOWERS,022-657-61-00,warsaw@sheraton.com,stały,*****,hotel,"00-493 Warszawa, B.Prusa 2 22"
74,SHERATON WARSAW HOTEL & TOWERS,022-657-61-00,warsaw@sheraton.com,stały,*****,hotel,"00-493 Warszawa, B.Prusa 2"
75,"HOTEL BRISTOL, WARSAW",(+48-22) 551-10,,stały,*****,hotel,"00-325 Warszawa, Krakowskie Przedmieście 42/44"
76,INTERCONTINENTAL WARSZAWA,-102,icwarsaw@inwarsaw.it.pl,stały,*****,hotel,"00-125 Warszawa, Emilii Plater 49"
77,MARRIOTT,(+48-22) 630-63,,stały,*****,hotel,"00-697 Warszawa, Al.Jerozolimskie 65/79"
78,MAMAISON HOTEL LE REGINA,225316000,info@leregina.com,stały,*****,hotel,"00-029 Warszawa, Kościelna 12"
79,HOTEL MIKOŁAJKI,87-420-60-00,biuro@hotelmikolajki.pl,stały,*****,hotel,"11-730 Mikołajki, Al. Spacerowa 11"
80,CROWN PIAST HOTEL,(0 12) 636-46-6,gm@hotelpiast.pl,stały,*****,hotel,"31-342 Kraków, ul. Radzikowskiego 109"
81,Radisson Blu,071/ 375 00 00,,stały,*****,hotel,"50-156 Wrocław, ul. Purkyniego 10"
82,THE GRANARY LA SUITE HOTEL WROCŁAW CITY CENTER,713952603,granary@granaryhotel.com,stały,*****,hotel,"50-057 Wrocław, MENNICZA 24"
83,BINKOWSKI,413011211,hotel@bhotel.pl,stały,****,hotel,"25-043 Kielce, Szzepaniaka 42"
84,GALERY69,89-513-64-80,recepcja@hotelgalery69.pl,stały,****,hotel,"11-034 Dorotowo, 38"
85,BESKID,(0 18)440-40-00,hotel@hotelbeskid.pl,stały,****,hotel,"33-300 Nowy Sącz, ul. Limanowskiego 1"
86,DWÓR SANNA,158716153,recepcja@dworsanna.pl,stały,****,hotel,"23-310 Modliborzyce, Wierzchowiska Drugie 163"
87,UROCZYSKO SIEDMIU STAWÓW LUXURY HOTEL,717509107,uroczysko7stawow@uroczysko7stawow.com,stały,****,hotel,"58-217 Gola Dzierżoniowska, GOLA DZIERŻONIOWSKA 21"
88,QUBUS HOTEL GORZÓW WLKP.,95 735-07-35,gorzow@qubushotel.com,stały,****,hotel,"66-410 Gorzów Wielkopolski, Orląt Lwowskich 3"
89,NH POZNAŃ,616248800,nhpoznan@nh-hotel.com,stały,****,hotel,"61-806 Poznań, sw marcin 67"
90,ZIMNIK LUKSUS NATURY,+48 33 860 15 9,recepcja@zimnik.com.pl,stały,****,hotel,"34-324 Lipowa, Lipowa 990"
91,MODERNO,616646666,,stały,****,hotel,"60-718 Poznań, kolejowa 29"
92,VERSANT DOM SPA,748117140,recepcja@hotelversant.pl,stały,****,hotel,"58-200 Dzierżoniów, MICKIEWICZA 16"
93,"""FALTOM""",0 - 58 671 -,faltom@hotel-faltom.com.pl,stały,****,hotel,"84-230 Rumia, Grunwaldzka 7"
94,NOVOTEL WARSZAWA AIRPORT,225756106,ho527-cc@accor.com,stały,****,hotel,"02-134 Warszawa, 1 sierpnia 1"
95,MŁYN JACKA HOTEL & SPA,(33)873-40-80,biuro@hotelmj.pl,stały,****,hotel,"34-100 Wadowice, Jaroszowice 234"
96,PREZYDENT,(0 18)473-65-00,marketing@hotelprezydent.com,stały,****,hotel,"33-380 Krynica-Zdrój, ul. Nowotarskiego 3"
97,Chopin,(+48-46) 862-59,hotel@hotelchopin.pl,stały,****,hotel,"96-500 Sochaczew, Traugutta 21"
98,"HOTEL ""ROBERT'S PORT""",87-421-65-20,recepcja@hotel-port.pl,stały,****,hotel,"11-730 Stare Sady, 4"
99,HOLIDAY INN ŁÓDŹ,422082000,info@hilodz.com,stały,****,hotel,"90-456 Łódź, Piotrkowska 229/231"
100,DIAMENT PLAZA,32 231-22-44,gliwice@hoteldiament.pl,stały,****,hotel,"44-100 Gliwice, Zwycięstwa 30"
101,Qubus Hotel Wrocław,(071) 341-08-98,hotel@hotel-mm.com.pl,stały,****,hotel,"50-103 Wrocław, Św. Marii Magdaleny 2"
102,GRACJA,095 720-43-11,info@hotelgracja.pl,stały,****,hotel,"66-400 Gorzów Wielkopolski, Dąbrowskiego 20 B"
103,KINGA HOTEL WELLNESS,(0 18)265-03-67,recepcja@kingahotel.com,stały,****,hotel,"34-436 Czorsztyn, ul. Zamkowa 6"
104,REZYDENCJA,+48 32 450 25 8,recepcja@rezydencja.slask.pl,stały,****,hotel,"41-940 Piekary Śląskie, stara 1"
105,"""NOVOTEL WARSZAWA CENTRUM""",48226210271,,stały,****,hotel,"00-510 Warszawa, marszałkowska 94/98"
106,MOLO RESORT,(33) 432-25-00,hotel@czasnamolo.pl,stały,****,hotel,"32-608 Osiek, główna 231 a"
107,MALINOWY DWÓR HOTEL MEDICAL SPA,757381000,recepcja@malinowydwOr.pl,stały,****,hotel,"59-850 Świeradów-Zdrój, DŁUGA 10"
108,SWING,(0 12)311-11-11,hotelswing@hotelswing.pl,stały,****,hotel,"31-416 Kraków, ul. Dobrego Pasterza 124"
109,CZARNY GROŃ HOTEL & SPA,(33) 506-51-00,recepcja@czarnygron.pl,stały,****,hotel,"34-125 Sułkowice, os. praciaki 91 A"
110,NAFTA KROSNO,134366212,rezerwacje@hotel.nafta.pl,stały,****,hotel,"38-400 Krosno, Lwowska 21"
111,"""LUBICZ""",0 - 59 814 -,biuro@hotel-lubicz.pl,stały,****,hotel,"76-270 Ustka, Grunwaldzka 14"
112,DOUBLETREE BY HILTON KRAKÓW HOTEL&CONVENTION CENTER,12 201-40-00,KRKCC_HOTEL@hilton.com,stały,****,hotel,"31-572 Kraków, ul. Dąbska 5"
113,RADOCZA PARK BUSINESS HOTEL,33 873-49-10,recepcja@radoczapark.pl,stały,****,hotel,"34-100 Radocza, ul. Parkowa 1, Radocza"
114,"""Młyn""",233-01-00,hotelmlyn@hotelmlyn.pl,stały,****,hotel,"87-800 Włocławek, Witosa 5"
115,MEDI-SPA BIAŁY KAMIEŃ SKI&WELLNESS RESORT,757817551,INFO@BIALYKAMIEN.COM,stały,****,hotel,"59-850 Świeradów-Zdrój, LEŚNA 8A"
116,DUO,(015) 87 22 880,recepcja@duojanow.pl,stały,****,hotel,"23-300 Janów Lubelski, Turystyczna 10 A"
117,FABRYKA WEŁNY,42 206-88-88,recepcja@fabrykawelny.pl,stały,****,hotel,"95-200 Pabianice, Zamkowa 2"
118,CENTRUM,12 359-43-83,info@hotel-centrum.pl,stały,****,hotel,"31-934 Kraków, os. Centrum E12"
119,MARYSIEŃKA,508223956,,stały,****,hotel,"58-306 Wałbrzych, wrocławska 134b"
120,PRZYSTAŃ HOTEL & SPA,89-651-90-00,hotel@hotelprzystan.com,stały,****,hotel,"10-160 Olsztyn, Żeglarska 4"
121,"""VICTOR""",+48 (0-22) 439-,recepcja@hotelvictor.pl,stały,****,hotel,"05-800 Pruszków, Andrzeja 1 A"
122,KRYNICA,(0 18)473-71-00,recepcja@hotelkrynica.eu,stały,****,hotel,"33-380 Krynica-Zdrój, Park Sportowy 3"
123,NOVOTEL ŁÓDŹ CENTRUM,422543900,,stały,****,hotel,"90-368 Łódź, Al. Piłsudkiego 11a"
124,MERCURE WROCŁAW CENTRUM,713232700,,stały,****,hotel,"50-159 Wrocław, PL.DOMINIKAŃSKI 1"
125,ANDEL'S HOTEL CRACOW,12 660-01-00,reservation@andelscracow.com,stały,****,hotel,"31-154 Kraków, ul. Pawia 3"
126,ART HOTEL,(071) 342 42 49,info@arthotel.wroc.pl,stały,****,hotel,"50-110 Wrocław, Kiełbaśnicza 20"
127,HOTEL BANIA THERMAL & SKI,18 265-41-63,sekretariat@bania.pl,stały,****,hotel,"34-405 Białka Tatrzańska, ul. Środkowa 181"
128,VERDE MONTANA,748697760,recepcja@verdemontana.pl,stały,****,hotel,"57-350 Kudowa-Zdrój, 1 MAJA 25A"
129,HILTON GARDEN INN KRAKÓW,(12) 399-90-00,,stały,****,hotel,"30-302 Kraków, ul. M. Konopnickiej 33"
130,REGENT WARSAW HOTEL,225581234,,stały,****,hotel,"00-761 Warszawa, Belwederska 23"
131,EUROPEJSKI BOUTIQUE HOTEL,483400021,hoteleuropejski@op.pl,stały,****,hotel,"26-600 Radom, Słowackiego 11"
132,HOTEL MŁYN - BIBLIOTEKA,55-235-04-70,info@hotelmlyn.com.pl,stały,****,hotel,"82-300 Elbląg, Kościuszki 132"
133,AIRPORT HOTEL OKĘCIE /CZĘŚĆ NOWA/,224568000,,stały,****,hotel,"00-146 Warszawa, 17-Stycznia 24"
134,APIS,(12) 617-65-00,info@hotelapis.pl,stały,****,hotel,"31-406 Kraków, Al. 29 Listopada 137"
135,OŁAWIAN,713014371,recepcja@olawianhotel.pl,stały,****,hotel,"55-200 Oława, SIKORSKIEGO 6"
136,"""MERIDIAN""",58/674-19-01,biuro@meridian.wla.pl,stały,****,hotel,"84-131 Chałupy, kaperska 2"
137,JM APART HOTEL,22 278-88-88,rezerwacja@jmaparthotel.pl,stały,****,hotel,"00-844 Warszawa, Grzybowska 45"
138,"""MERA SPA HOTEL""",58/766-66-00,info@meraspahotel.pl,stały,****,hotel,"81-731 Sopot, Bitwy pod Płowcami 59"
139,DOUBLETREE BY HILTON ŁÓDŹ,422088000,,stały,****,hotel,"90-554 Łódź, ŁĄKOWA 29"
140,"""GRAND CRU""",58 77-27-300,RECEPCJA@HOTELGRANDCRU.PL,stały,****,hotel,"80-882 Gdańsk, Rycerska 11-12"
141,ASTONE,767469800,hotel@hotelastone.pl,stały,****,hotel,"59-300 Lubin, Kwiatowa 11"
142,CRISTAL,85 742-50-61,,stały,****,hotel,"15-424 Białystok, Lipowa 3/5"
143,DAKOTA,523241410,marketing@dakotahotel.eu,stały,****,hotel,"86-031 Niwy, Szosa Gdańska 46"
144,GRAND HOTEL,413655000,hotel@lysogory.com.pl,stały,****,hotel,"25-501 Kielce, sienkiewicza 78"
145,"""TRISTAN""",55/26-72-600,hotel@tristan.com.pl,stały,****,hotel,"82-110 Kąty Rybackie, RYbacka 17"
146,PAŁAC CZARNY LAS,34 357-30-78,recepcja@ czarnylas.com.pl,stały,****,hotel,"42-289 Woźniki, Czarny Las 8"
147,EVITA HOTEL & SPA,523339804,,stały,****,hotel,"86-150 Tleń, Czerska 11"
148,GROMADA ARKA LUX,(94) 342 79 11,koszalinhotel@gromada.pl,stały,****,hotel,"75-035 Koszalin, Zwycięstwa 20-24"
149,"""AUBRECHT COUNTRY SPA RESORT""",597241469,rezerwacja@hotelaubrecht.pl,stały,****,hotel,"77-320 Koprzywnica, Koprzywnica 4"
150,COPERNICUS TORUŃ HOTEL,566115700,recepcja@copernicustorun.com,stały,****,hotel,"87-100 Toruń, Bulwar Filadelfijski 11"
151,TERMY MEDICAL WARMIA PARK,89-519-53-00,termymedical@warmiapark.pl,stały,****,hotel,"11-034 Pluski, Pluszna 36"
152,AMARYLIS,,,stały,****,hotel,"62-020 Jasin, Poznańska 39"
153,"""MISTRAL SPORT""",58/736-46-00,hotel@gniewino.pl,stały,****,hotel,"84-250 Gniewino, Sportowa 1"
154,OLIVIA MEDICAL SPA,(12)271-06-58,biuro@oliwiaspa.pl,stały,****,hotel,"32-437 Skomielna Czarna, skomielna czarna 488"
155,META RESORT VINE SPA,33-8178-874,metahotel@meta-hotel.pl,stały,****,hotel,"43-370 Szczyrk, Skośna 4"
156,ATENA,177739100,recepcja@hotel-atena.pl,stały,****,hotel,"39-300 Mielec, przemysłowa 67"
157,HOTEL AMAZONKA,542300100,recepcja@hotelamazonka.pl,stały,****,hotel,"87-720 Ciechocinek, Traugutta 5"
158,Z-HOTEL BUSINESS & SPA,227781130,recepcja@z-hotel.com,stały,****,hotel,"05-402 Otwock, wczasowa 25"
159,RUBEN HOTEL,684567070,hotel@rubenhotel.pl,stały,****,hotel,"65-805 Zielona Góra, Al. Konst. 3 MAja 1A"
160,ARŁAMÓW,134616500,sekretariat@arlamow.pl,stały,****,hotel,"38-760 Arłamów, -"
161,HOTEL PIANO,775503301,biuro@pianohotel.com.pl,stały,****,hotel,"45-083 Opole, Barlickiego"
162,RUBINSTEIN,(12) 384-00-00,recepcja@rubinstein.pl,stały,****,hotel,"31-053 Kraków, szeroka 12"
163,HOTEL PLATINUM,89-642-36-00,recepcja@hotelplatinum.pl,stały,****,hotel,"14-100 Ostróda, Wyszyńskiego 11A"
164,SOMMER RESIDENCE HOTEL & SPA,778875888,,stały,****,hotel,"46-200 Kuniów, 101a"
165,BEST WESTERN PLUS BRZEG CENTRUM,7744388000,gm@bestwesternbrzeg.com,stały,****,hotel,"49-300 Brzeg, Wrocławska 5"
166,HOTEL HOLIDAY INN BYDGOSZCZ,523477000,reservations@holiday.hgb.com.pl,stały,****,hotel,"85-109 Bydgoszcz, Grodzka 6"
167,HILTON GARDEN INN KRAKÓW AIRPORT,(12)340-00-00,hotel@krkairport.pl,stały,****,hotel,"32-083 Balice, medweckiego 3"
168,AVIATOR,48/3628888,,stały,****,hotel,"26-600 Radom, J. Malczewskiego 18"
169,KAWALLO,+ 48 (0-24) 266,kawallo@kawallo.pl,stały,****,hotel,"09-533 Słubice, Leonów 7 A"
170,HOTEL OSTOYA PALACE,12 430-90-00,hotel@ostoyapalace.pl,stały,****,hotel,"31-109 Kraków, ul. Piłsudskiego 24"
171,PAPUGA,33 818-58-60,hotel@ papuga.pl,stały,****,hotel,"43-382 Bielsko-Biała, Zapora 3"
172,ZAMEK NA SKALE,748652000,zamek@zameknaskale.com.pl,stały,****,hotel,"57-540 Lądek-Zdrój, TRZEBIESZOWICE 151"
173,"""RYCERSKI""",58/535-25-37,sekretariat@zamek-gniew.pl,stały,****,hotel,"83-140 Gniew, Zamkowa 3"
174,BRISTOL,14 621-22-79,bristol.tn@poczta.fm,stały,****,hotel,"33-100 Tarnów, ul. Krakowska 9"
175,PAŁAC ŚMIŁOWICE,(0 12)385-92-04,palac.smilowice@interia.eu,stały,****,hotel,"32-120 Nowe Brzesko, Śmiłowice"
176,APOLLO,94 314-24-53,recepcja@hotelapollo.pl,stały,****,hotel,"76-153 Darłowo, Kąpielowa 11"
177,BRZOZA,(52)3810111,recepcja@hotelbrzoza.pl,stały,****,hotel,"86-061 Brzoza, Bydgoska 34"
178,MCC MAZURKAS CONFERENCE CENTRE & HOTEL,(+48 22) 721-47,rezerwacja@mazurkashotel.pl,stały,****,hotel,"05-850 Ożarów Mazowiecki, Poznańska 177"
179,BLUE DIAMOND HOTEL,177722666,recepcja@bluediamondhotel.pl,stały,****,hotel,"36-001 Nowa Wieś, gmina Trzebownisko"
180,NOVOTEL WROCŁAW CENTRUM,(071) 361-46-51,wroclaw@orbis.pl,stały,****,hotel,"53-332 Wrocław, Powstańców Śląskich 7"
181,OLIMPIC,033-85432-35,recepcja@hotelolympic.pl,stały,****,hotel,"43-450 Ustroń, Grażyńskiego 10"
182,HOTEL STARY TARTAK,89-648-22-33,recepcja@starytartak.com.pl,stały,****,hotel,"14-200 Iława, Biskupska 5"
183,HOTEL MASURIA,885-950-021,hotel@masuria.com.pl,stały,****,hotel,"14-105 Worliny, 33"
184,"""QUBUS HOTEL GDAŃSK""",58/75-22-100,gdansk@qubushotel.com,stały,****,hotel,"80-748 Gdańsk, Chmielna 47/52"
185,"""VILLA PARK""",544164100,hotel@villapark.pl,stały,****,hotel,"87-720 Ciechocinek, Warzelniana 10"
186,BEST WESTERN PREMIER KRAKÓW HOTEL,(0 12)420-00-05,bestwestern@krakowpremier.pl,stały,****,hotel,"31-323 Kraków, ul. Opolska 14 A"
187,CITY,522500325,city@cps.pl,stały,****,hotel,"85-950 Bydgoszcz, 3 Maja 6"
188,"""WARSZAWIANKA""",(+48 22) 768-90,hotel@warszawianka.pl,stały,****,hotel,"05-140 Serock, Jachranka 77"
189,PAŁAC POLANKA,134924455,rezerwacje@PALACPOLANKA.PL,stały,****,hotel,"38-400 Krosno, popiełuszki 103"
190,PARK DIAMENT HOTEL,32 72-00-000,katowicepark@hoteldiament.pl,stały,****,hotel,"40-042 Katowice, Wita Stwosza 37"
191,QUBUS,041243-81-00,kielce@qubushotel.com,stały,****,hotel,"25-505 Kielce, Składowa 2"
192,HOTEL&SOUND BOSSA NOVA,757615980,kontakt@bossanova.pl,stały,****,hotel,"58-580 Szklarska Poręba, KILIŃSKIEGO 14"
193,"Hotel ""ZAJAZD NAPOLEOŃSKI""",0-22 815-30-68,,stały,****,hotel,"04-501 Warszawa, Płowiecka 83"
194,GRAND NOSALOWY DWÓR,(0 18)201-14-00,hotel@nosalowy-dwór.eu,stały,****,hotel,"34-500 Zakopane, ul. Balzera 21C"
195,BEST WESTERN PRIMA,(71) 782 55 55,prima@bestwestern-prima.pl,stały,****,hotel,"50-110 Wrocław, Kiełbaśnicza 16-19"
196,HOTEL IM.JANA PAWŁA II,713271400,hotel@hotel-jp2.pl,stały,****,hotel,"50-328 Wrocław, ŚW.IDZIEGO 2"
197,MOŚCICKI,0-44 726-41-00,info@hotelmoscicki.pl,stały,****,hotel,"97-214 Spała, Nadpiliczna 2"
198,DESILVA PREMIUM OPOLE,775407000,opole@desilva.pl,stały,****,hotel,"45-078 Opole, powolnego 10"
199,GORZELANNY,881328081,,stały,****,hotel,"00-000 Pokrzywna, 76"
200,PIWNICZNA SPA & CONFERENCE,796444044,recepcja@hotelpiwniczna.pl,stały,****,hotel,"33-350 Piwniczna-Zdrój, ul. Gąsiorowskiego 5"
201,JUSTYNA,(12) 649-80-00,rezerwacja@hoteljustyna.pl,stały,****,hotel,"31-571 Kraków, Al. Jana Pawła II 70"
202,PAŁAC ROMANTYCZNY,566423100,recepcja@palac-romantyczny.com,stały,****,hotel,"87-148 Turzno, Toruńska 1"
203,ARIES,(18) 544-44-44,rezerwacja@hotelaries.pl,stały,****,hotel,"34-500 Zakopane, ul. zaruskiego 5"
204,MALINOWY ZDRÓJ HOTEL MEDICAL SPA,"41 370-40-00,3",recepcja@maliowyzdroj.pl,stały,****,hotel,"28-131 Solec-Zdrój, Leśna 7"
